"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
330;"Fratta a Valli Mocenighe CAE";17/03/1994;;"CAEI";4;"PIACENZA D'ADIGE (PD)";"PD";"LIDRO";1701645.976;5003406.636;45.15514499;11.56501188;"BRENTA: VENETO";"BRENTA - Fratta - Gorzone";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
331;"Monticano a Vazzola CAE";24/04/1991;;"CAEI";25;"VAZZOLA (TV)";"TV";"LIDRO";1763427.118;5083066.736;45.85057427;12.39256244;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-G Livenza, Lemene e Tagliamento";
332;"Adige a Verona CAE";23/05/1985;;"CAEI";52;"VERONA (VR)";"VR";"LIDRO, LIDRO, PORT";1656561.286;5034086.849;45.44258112;11.00153857;"ADIGE: VENETO";"ADIGE: AGRO VERONESE TARTARO TIONE";"Vene-C Adige-Garda e monti Lessini";
333;"Bacchiglione a Vicenza CAE";23/04/1994;;"CAEI";27;"VICENZA (VI)";"VI";"LIDRO, LIDRO, PORT";1699109.066;5047246.226;45.55008435;11.55043416;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-B Alto Brenta-Bacchiglione-Alpone";
334;"Bacchiglione a Padova Voltabarozzo CAE";16/02/1999;;"CAEI";11;"PADOVA (PD)";"PD";"LIDRO";1727494.03;5029975.617;45.38613829;11.9056263;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
335;"Agordo CAE";01/02/1997;07/11/2017;"CAEM";625;"AGORDO (BL)";"BL";"PIOGCONT, PREC, TARIA2M";1734338.753;5129835.988;46.28141666;12.0415;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
336;"Bagnoli di Sopra CAE";28/10/1987;14/01/2013;"CAEM";3;"BAGNOLI DI SOPRA (PD)";"PD";"PIOGCONT, PREC, TARIA2M";1726164.271;5007646.328;45.18583084;11.87848218;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
337;"Conegliano CAE";16/07/1987;;"CAEM";43;"CONEGLIANO (TV)";"TV";"PIOGCONT, PREC, TARIA2M";1758202.308;5084684.039;45.86708334;12.32625001;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-H Piave pedemontano";
338;"Contarina CAE";11/10/1987;30/11/2017;"CAEM";-2;"PORTO VIRO (RO)";"RO";"PIOGCONT, PREC, TARIA2M";1756018.378;4988623.642;45.00466666;12.24819444;"FISS.TAR.C.BIANCO";"PO";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
339;"Cornuda CAE";01/06/1985;05/12/2017;"CAEM";165;"CORNUDA (TV)";"TV";"PIOGCONT, PREC, TARIA2M";1732449.83;5078740.261;45.82283334;11.99208334;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
340;"Cortina CAE";01/01/2002;07/05/2008;"CAEM";1210;"CORTINA D'AMPEZZO (BL)";"BL";"PIOGCONT, PREC";1740177.549;5159380.059;46.54486111;12.13236111;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
341;"Este CAE";01/06/1985;11/02/2014;"CAEM";12;"ESTE (PD)";"PD";"PIOGCONT, PREC, TARIA2M";1708932.279;5011361.738;45.22455556;11.66094445;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
342;"Fagare' della Battaglia CAE";01/06/1985;14/04/2017;"CAEM";11;"SAN BIAGIO DI CALLALTA (TV)";"TV";"PIOGCONT, PREC, TARIA2M";1767769.45;5067012.458;45.70466667;12.4395;"PIAVE: VENETO";"PIAVE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
343;"Fonzaso CAE";01/01/1984;20/11/2017;"CAEM";318;"FONZASO (BL)";"BL";"PIOGCONT, PREC";1717787.06;5099353.177;46.01291666;11.81291667;"BRENTA: VENETO";"BRENTA: CISMON";"Vene-B Alto Brenta-Bacchiglione-Alpone";
344;"Funes d'Alpago CAE";01/07/1992;08/02/2017;"CAEM";846;"CHIES D'ALPAGO (BL)";"BL";"PIOGCONT, PREC, TARIA2M";1762716.256;5119694.023;46.17991667;12.40358333;"PIAVE: VENETO";"PIAVE - Alpago";"Vene-H Piave pedemontano";
345;"Gallio CAE";01/01/2002;;"CAEM";1176;"GALLIO (VI)";"VI";"DRAFF10M, DVENTO10M, DVVETTOR10M, PIOGCONT, PREC, TARIA8M, UMID8M, VRAFFICA10M, VVENTO10M, VVVETTOR10M";1698124;5083931;45.88022083;11.55281023;"BRENTA: VENETO";"BRENTA - Val d'Assa";"Vene-B Alto Brenta-Bacchiglione-Alpone";
346;"La Secca CAE";01/07/1992;;"CAEM";386;"PONTE NELLE ALPI (BL)";"BL";"PIOGCONT, PREC, TARIA2M, UMID2M";1756367;5113855;46.12987309;12.31830088;"PIAVE: VENETO";"PIAVE - Alpago";"Vene-H Piave pedemontano";
347;"Passo Falzarego CAE";01/06/1988;;"CAEM";1988;"CORTINA D'AMPEZZO (BL)";"BL";"DRAFF10M, DVENTO10M, DVVETTOR10M, NIVOM, PIOGCONT, PREC, PRESS, RADSOL, TARIA8M, UMID8M, VRAFFICA10M, VVENTO10M, VVVETTOR10M";1732284.04;5156324.032;46.52016977;12.02802485;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
348;"Roncadin Chies d'Alpago CAE";01/07/1992;;"CAEM";1160;"CHIES D'ALPAGO (BL)";"BL";"PIOGCONT, PREC, RADSOL, TARIA2M, UMID2M";1762997;5120910;46.19073266;12.40789032;"PIAVE: VENETO";"PIAVE - Alpago";"Vene-H Piave pedemontano";
349;"Treviso citta' CAE";24/03/1987;06/10/2015;"CAEM";13;"TREVISO (TV)";"TV";"PIOGCONT, PREC, TARIA2M";1752263.266;5061780.491;45.66347222;12.23791666;"SILE";"SILE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
350;"Valstagna CAE";01/01/1984;;"CAEM";148;"VALBRENTA (VI)";"VI";"PIOGCONT, PREC";1706448;5082227;45.86245484;11.65923289;"BRENTA: VENETO";"BRENTA: VALSUGANA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
351;"Solagna Villaggio del sole CAE";11/06/1997;;"CAEM";1154;"SOLAGNA (VI)";"VI";"PIOGCONT, PREC, TARIA2M";1711966;5079928;45.84011076;11.72922641;"BRENTA: VENETO";"BRENTA: VALSUGANA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
352;"Vo' di Brendola CAE";01/01/1984;04/07/2016;"CAEM";43;"BRENDOLA (VI)";"VI";"PIOGCONT, PREC";1691174.502;5036369.745;45.4545;11.44463889;"BRENTA: VENETO";"BRENTA - Musone";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
353;"Adige a Egna (BZ) CAE";14/04/1985;22/01/2018;"CAE";213;"EGNA (BZ)";"BZ";"LIDRO, PIOGCONT, PORT, PREC, TARIA2M";1674219.151;5131733.398;46.31656651;11.26253883;"ADIGE: TRENTINO E ALTO ADIGE";"ADIGE: TRENTINO E ALTO ADIGE";"Bolz-B Alto Adige";
354;"Adige a Trento (TN) CAE";01/04/1986;;"CAE";193;"TRENTO (TN)";"TN";"LIDRO, PIOGCONT, PORT, PREC, TARIA2M";1663655.647;5104044.184;46.07017182;11.11585345;"ADIGE: TRENTINO E ALTO ADIGE";"ADIGE: TRENTINO E ALTO ADIGE";"Tren-A Bacino Basso dell'Adige Trentino";
355;"Adige a Marco (TN) CAE";01/09/1981;;"CAE";160;"MORI (TN)";"TN";"LIDRO";1655438.967;5078158.863;45.83925379;11.00126647;"ADIGE: TRENTINO E ALTO ADIGE";"ADIGE: TRENTINO E ALTO ADIGE";"Tren-A Bacino Basso dell'Adige Trentino";
356;"Adige a Vo' Destro (TN) CAE";01/09/1981;;"CAE";154;"AVIO (TN)";"TN";"LIDRO, PIOGCONT, PREC, TARIA2M";1650761.093;5066073.829;45.73158505;10.93730437;"ADIGE: TRENTINO E ALTO ADIGE";"ADIGE: TRENTINO E ALTO ADIGE";"Tren-A Bacino Basso dell'Adige Trentino";
357;"Meduna a Pordenone (PN) CAE";19/07/1990;;"CAE";23;"PORDENONE (PN)";"PN";"LIDRO";1786746.296;5094726.553;45.9459803;12.69926897;"LIVENZA: FRIULI";"LIVENZA: FRIULI";"Friu-A Bacino del Livenza";
358;"Noncello a Pordenone (PN) CAE";01/09/1981;;"CAE";34;"PORDENONE (PN)";"PN";"LIDRO";1783594.283;5095233.273;45.95185196;12.65898273;"LIVENZA: FRIULI";"LIVENZA: FRIULI";"Friu-A Bacino del Livenza";
359;"Livenza a S.Cassiano (PN) CAE";08/09/1999;;"CAE";5;"BRUGNERA (PN)";"PN";"LIDRO";1774350.995;5086451.623;45.87670783;12.53491998;"LIVENZA: FRIULI";"LIVENZA: FRIULI";"Vene-G Livenza, Lemene e Tagliamento";
360;"But a Tolmezzo (UD) CAE";01/09/1981;;"CAE";330;"TOLMEZZO (UD)";"UD";"LIDRO, PIOGCONT, PREC, TARIA2M";1807907.603;5147367.43;46.40943447;13.00587338;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Friu-B Bacino del Tagliamento";
361;"Fella a Moggio Udinese (UD) CAE";01/09/1981;;"CAE";310;"MOGGIO UDINESE (UD)";"UD";"LIDRO, PIOGCONT, PREC, TARIA2M";1821832.778;5147063.917;46.40022125;13.18636444;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Friu-B Bacino del Tagliamento";
362;"Tagliamento a Ponte della Delizia (PN) CAE";16/09/1994;;"CAE";57;"VALVASONE (PN)";"PN";"LIDRO, PIOGCONT, PREC";1802286.462;5097589.568;45.96502648;12.90111482;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Friu-C Pianura di Udine-Gorizia-Trieste";
363;"Tagliamento a Madrisio (PN) CAE";17/03/1994;;"CAE";14;"MORSANO AL TAGLIAMENTO (PN)";"PN";"LIDRO";1808562.906;5086287.651;45.86075853;12.97465587;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Friu-C Pianura di Udine-Gorizia-Trieste";
364;"Tagliamento a Volta a Latisana (UD) CAE";17/09/1994;09/03/2021;"CAE";7;"LATISANA (UD)";"UD";"LIDRO";1813359.196;5072816.717;45.73764862;13.02755778;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Vene-G Livenza, Lemene e Tagliamento";
365;"Arzino a Ponte Armistizio (UD) CAE";01/09/1981;;"CAE";300;"FORGARIA NEL FRIULI (UD)";"UD";"LIDRO";1805173.445;5125177.892;46.21145066;12.95598538;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Friu-C Pianura di Udine-Gorizia-Trieste";
366;"Tagliamento a Venzone 1 (UD) CAE";11/11/1993;;"CAE";233;"VENZONE (UD)";"UD";"LIDRO";1818195.288;5139654.855;46.33543842;13.134147;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Friu-B Bacino del Tagliamento";
367;"Tagliamento a Venzone 2 (UD) CAE";18/12/1992;;"CAE";227;"VENZONE (UD)";"UD";"LIDRO";1818188.474;5139646.921;46.3353699;13.13405086;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Friu-B Bacino del Tagliamento";
368;"Tagliamento a Latisana 1 (UD) CAE";08/12/1994;;"CAE";9;"LATISANA (UD)";"UD";"LIDRO";1810712.145;5076524.253;45.77213525;12.995998;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Vene-G Livenza, Lemene e Tagliamento";
369;"Tagliamento a Latisana 2 (UD) CAE";12/12/1994;;"CAE";9;"LATISANA (UD)";"UD";"LIDRO";1810791.415;5076551.84;45.77234215;12.99702894;"TAGLIAMENTO: FRIULI";"TAGLIAMENTO: FRIULI";"Vene-G Livenza, Lemene e Tagliamento";
370;"Adige a Borghetto (TN) CAE";01/09/1981;;"CAE";125;"AVIO (TN)";"TN";"LIDRO";1650150.843;5062968.613;45.70378708;10.92849448;"ADIGE: TRENTINO E ALTO ADIGE";"ADIGE: TRENTINO E ALTO ADIGE";"Tren-A Bacino Basso dell'Adige Trentino";
371;"Brenta a Ponte Filippini (TN) CAE";01/09/1981;;"CAE";246;"GRIGNO (TN)";"TN";"LIDRO, PIOGCONT, PORT, PREC, TARIA2M";1704796.832;5097949.223;46.00429113;11.64469828;"BRENTA: TRENTO";"BRENTA: TRENTO";"Tren-A Bacino Basso dell'Adige Trentino";
372;"Grigno a Grigno paese (TN) CAE";01/09/1981;;"CAEI";252;"GRIGNO (TN)";"TN";"LIDRO, PORT";1704160.522;5099140.493;46.01518877;11.63700206;"BRENTA: TRENTO";"BRENTA: TRENTO";"Tren-A Bacino Basso dell'Adige Trentino";
373;"Brenta a Borgo Valsugana (TN) CAE";01/09/1981;;"CAE";390;"BORGO VALSUGANA (TN)";"TN";"LIDRO, PIOGCONT, PORT, PREC, TARIA2M";1690333.342;5103012.869;46.05398623;11.46010397;"BRENTA: TRENTO";"BRENTA: TRENTO";"Tren-A Bacino Basso dell'Adige Trentino";
374;"Brenta a Enego CAE";18/01/1984;;"CAEI";208;"ENEGO (VI)";"VI";"LIDRO, PORT";1710428.818;5092589.805;45.95441312;11.71500011;"BRENTA: VENETO";"BRENTA: VALSUGANA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
375;"Mestre Marghera";23/02/2006;21/05/2009;"METEO";12;"VENEZIA (VE)";"VE";"DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1751503.347;5037289.031;45.44373859;12.21543399;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
376;"Zero a Mogliano Veneto CAE";01/08/1989;02/10/2008;"CAEI";5;"MOGLIANO VENETO (TV)";"TV";"LIDRO";1753123.187;5050994.407;45.56623239;12.2433393;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
377;"Chiampo a S.Vito Veronese CAE";16/04/1986;;"CAEI";34;"SAN BONIFACIO (VR)";"VR";"LIDRO, PORT";1681644.12;5032190.22;45.41945542;11.32131394;"ADIGE: VENETO";"ADIGE - Alpone";"Vene-B Alto Brenta-Bacchiglione-Alpone";
378;"Livenza a Tremeacque (PN) CAE";01/01/2006;;"CAE";4;"PRATA DI PORDENONE (PN)";"PN";"LIDRO";1777214.774;5081192.581;45.82832001;12.56872531;"LIVENZA: FRIULI";"LIVENZA: FRIULI";"Vene-G Livenza, Lemene e Tagliamento";
379;"Meduna a Tremeacque (PN) CAE";01/07/1990;;"CAE";4;"PRATA DI PORDENONE (PN)";"PN";"LIDRO";1777310.391;5081181.398;45.82818261;12.56995255;"LIVENZA: FRIULI";"LIVENZA: FRIULI";"Vene-G Livenza, Lemene e Tagliamento";
380;"Meduna a Visinale di Sopra (PN) CAE";01/01/2006;;"CAE";27;"PASIANO DI PORDENONE (PN)";"PN";"LIDRO";1780365.17;5085985.587;45.87009943;12.61200356;"LIVENZA: FRIULI";"LIVENZA: FRIULI";"Friu-A Bacino del Livenza";
381;"Meschio a Ponte della Muda (PN) CAE";01/01/2006;;"CAE";45;"CANEVA (PN)";"PN";"LIDRO";1766606.111;5093864.339;45.94634835;12.43943384;"LIVENZA: FRIULI";"LIVENZA: FRIULI";"Vene-H Piave pedemontano";
382;"Monti Alti di Ornella CAE";19/12/1984;;"CAEAR";2227;"LIVINALLONGO DEL COL DI LANA (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1721592.895;5150974.668;46.47569444;11.88627778;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
383;"Cima Pradazzo CAE";29/11/1985;;"CAEAR";2195;"FALCADE (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1717185.547;5137487.527;46.3559;11.82266667;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
384;"Col dei Baldi CAE";27/11/1985;;"CAEAR";1913;"ALLEGHE (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, PRESS, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1736197.915;5144796.393;46.41521667;12.07313333;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
385;"Ra Valles CAE";08/09/1992;;"CAEAR";2592;"CORTINA D'AMPEZZO (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1735908.482;5159691.334;46.54916889;12.07691963;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
386;"Monte Lisser CAE";27/01/1987;;"CAEAR";1422;"ENEGO (VI)";"VI";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, PRESS, RADSOL, RADSOLRIF, TARIA, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1705467.624;5092404.541;45.95425001;11.65097222;"BRENTA: VENETO";"BRENTA: VALSUGANA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
387;"Monte Baldo CAE";14/11/1986;;"CAEAR";1756;"MALCESINE (VR)";"VR";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, PRESS, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1645081.983;5070556.458;45.77313889;10.86569445;"PO: VENETO";"PO: AFFLUENTI DEL LAGO BENACO O DI GARDA";"Vene-C Adige-Garda e monti Lessini";
388;"Faverghera CAE";01/03/1988;;"CAEAR";1603;"BELLUNO (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1755302.991;5107712.729;46.07508334;12.30125;"LIVENZA: VENETO";"LIVENZA: ZONA MONTANA";"Vene-H Piave pedemontano";
389;"Casera Doana CAE";23/06/1988;;"CAEAR";1887;"VIGO DI CADORE (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1771820.685;5153632.062;46.48119445;12.54097222;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
390;"Malga Losch CAE";22/07/1988;;"CAEAR";1757;"VOLTAGO AGORDINO (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1728098.729;5127482.565;46.26238889;11.95947222;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
391;"Monte Grappa CAE";05/07/1988;;"CAEAR";1540;"VALBRENTA (VI)";"VI";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, NIVOM, PRESS, RADSOL, RADSOLRIF, TARIA8M, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1715986.894;5083324.798;45.86939886;11.78246745;"BRENTA: VENETO";"BRENTA: VALLE S. FELICITA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
392;"Monte Tomba CAE";20/07/1988;;"CAEAR";1624;"BOSCO CHIESANUOVA (VR)";"VR";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1661138.07;5060977.011;45.68341666;11.06888889;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
393;"Passo Campogrosso CAE";19/04/1988;;"CAEAR";1462;"RECOARO TERME (VI)";"VI";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1668750.693;5066191.047;45.7285;11.16838889;"BRENTA: VENETO";"BRENTA - Bacchiglione - Agno";"Vene-B Alto Brenta-Bacchiglione-Alpone";
394;"Monte Piana CAE";20/09/1989;;"CAEAR";2262;"AURONZO DI CADORE (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1748902.037;5167363.899;46.61342241;12.25026321;"ADIGE: VENETO";"ADIGE: RIENZA";"Vene-A Alto Piave";
395;"Casera Coltrondo CAE";21/09/1989;;"CAEAR";1929;"COMELICO SUPERIORE (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1763447.832;5173745.318;46.66519444;12.44352778;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
396;"Campomolon CAE";22/11/1990;;"CAEAR";1732;"ARSIERO (VI)";"VI";"DRAFF10M, DVENTO10M, DVNIVOMET10M, NIVOM, TARIA, TARIA8M, TNEVE, TSUPNEVE, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1676426.741;5082490.073;45.87316667;11.27291666;"BRENTA: VENETO";"BRENTA - Posina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
397;"Casera Palantina CAE";07/11/1991;;"CAEAR";1492;"TAMBRE (BL)";"BL";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, GRADTNEV, LIVGTNEV, NIVOM, RADSOL, RADSOLRIF, TARIA, TARIA8M, TNEVE, TNEVE100, TNEVE140, TNEVE180, TNEVE20, TNEVE220, TNEVE260, TNEVE300, TNEVE340, TNEVE40, TNEVE60, TNEVE80, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1768593.421;5113161.875;46.11894444;12.47588889;"PIAVE: VENETO";"PIAVE - Alpago";"Vene-H Piave pedemontano";
398;"Malga Larici CAE";19/10/1994;;"CAEAR";1606;"ASIAGO (VI)";"VI";"ALBED, DRAFF10M, DVENTO10M, DVNIVOMET10M, NIVOM, RADSOL, RADSOLRIF, TARIA, TARIA8M, TNEVE, TSUPNEVE, UMID8M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVNIVOMET10M";1687482.477;5092873.794;45.96361667;11.4193;"BRENTA: VENETO";"BRENTA - Val d'Assa";"Vene-B Alto Brenta-Bacchiglione-Alpone";
399;"Po a Ficarolo CAE";13/07/2006;;"CAEI";6;"FICAROLO (RO)";"RO";"LIDRO, PORT";1691383.412;4979753.522;44.94527778;11.42555556;"PO: VENETO";"PO: CORSO POLESANO";"Emil-F Pianura di Modena-Reggio Emilia";
400;"Livenza a Portobuffole' CAE";27/09/2006;;"CAEI";3;"PORTOBUFFOLE' (TV)";"TV";"LIDRO";1774592.433;5083562.408;45.85066951;12.5363832;"LIVENZA: VENETO";"LIVENZA";"Vene-G Livenza, Lemene e Tagliamento";
401;"Livenza a Motta di Livenza CAE";26/09/2006;;"CAEI";1;"MOTTA DI LIVENZA (TV)";"TV";"LIDRO";1781200.372;5075364.859;45.77437172;12.61654734;"LIVENZA: VENETO";"LIVENZA";"Vene-G Livenza, Lemene e Tagliamento";
